"","COLLISION_TYPE","FATAL_OR_MAJ_INJ","DAY_OF_WEEK","CRASH_MONTH","CELL_PHONE","IMPAIRED_DRIVER","FATIGUE_ASLEEP","SPEEDING_RELATED","WEATHER","SPEED_LIMIT","DEC_LAT","DEC_LONG"
"94","Head-on",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.41650009,-80.02330017
"95","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",25,40.56000137,-80.22429657
"96","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",25,40.42229843,-79.88200378
"97","Angle",FALSE,"Sunday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.43600082,-79.99900055
"98","Hit fixed object",FALSE,"Sunday",1,FALSE,FALSE,TRUE,FALSE,"Rain",25,40.45429993,-80.05860138
"99","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",25,40.54290009,-79.96309662
"100","Rear-end",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",25,40.44139862,-79.75370026
"101","Other or Unkown",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",25,40.41139984,-80.00630188
"102","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",25,40.47610092,-80.03150177
"103","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",40,40.2173996,-79.83999634
"104","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",35,40.3594017,-79.90609741
"105","Sideswipe (same dir.)",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",25,40.47779846,-79.71399689
"106","Hit fixed object",FALSE,"Saturday",1,TRUE,FALSE,FALSE,FALSE,"Other",25,40.45869827,-79.77559662
"107","Rear-to-rear (Backing",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",25,40.44960022,-80.06279755
"108","Head-on",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",25,40.66619873,-80.10179901
"109","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",25,40.6155014,-79.8655014
"110","Rear-end",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",25,40.41590118,-80.02410126
"111","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.37310028,-80.13770294
"112","Angle",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",25,40.41600037,-80.02410126
"113","Rear-end",FALSE,"Sunday",1,FALSE,FALSE,FALSE,TRUE,"Rain",35,40.4659996,-79.99980164
"114","Non collision",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Rain",40,40.604599,-79.9253006
"115","Rear-end",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",25,40.4090004,-80.0236969
"116","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",40,40.65520096,-80.0868988
"117","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",40,40.65570068,-79.89070129
"118","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",40,40.59759903,-79.94750214
"119","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",NA,40.33599854,-79.86979675
"120","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Other",40,40.35369873,-79.93930054
"121","Head-on",FALSE,"Sunday",1,FALSE,TRUE,FALSE,FALSE,"No adverse conditions",25,40.44240189,-80.03340149
"122","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",15,40.42229843,-79.88200378
"123","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.38579941,-79.83370209
"124","Sideswipe (same dir.)",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",40,40.56890106,-80.21420288
